GOVERNO DO DISTRITO FEDERAL;;;;;;;;;;;;;;;;;;;
SECRETARIA DE ESTADO DE SEGURANÇA PÚBLICA;;;;;;;;;;;;;;;;;;;
DEPARTAMENTO DE TRÂNSITO DO DISTRITO FEDERAL;;;;;;;;;;;;;;;;;;;
GABINETE DA DIREÇÃO-GERAL;;;;;;;;;;;;;;;;;;;
GERÊNCIA DE ESTATÍSTICA DE ACIDENTE DE TRÂNSITO;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Acidentes de trânsito fatais em Vias Urbanas,;;;;;;;;;;;;;;;;;;;
Distrito Federal, 2008 a 2017;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
JURISDIÇÃO;REGIÃO ADMINISTRATIVA;ENDEREÇO;NATUREZA;DATA;DIA DA SEMANA;HORA;VEÍCULO;SEXO;IDADE;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
VIA URBANA;BRASÍLIA;L1 SUL, SQS 411, FAIXA DE PED;ATROP PEDESTRE;26/11/2017;1-DOM;19:30;AUTOMÓVEL;MASCULINO;82;;;;;;;;;;1
VIA URBANA;BRASÍLIA;W1 SUL, QUADRA 114 PROXIMO A CLS 314, AO LADO DO POSTO SHELL, SENT S/N;ATROP PEDESTRE;29/04/2008;3-TER;10:00;CAMINHONETE;FEMININO;58;1;;;;;;;;;
VIA URBANA;CEILÂNDIA;ELMO SEREJO, ADE QD 01, PRÓX. À RAGNA ROCK MUSIC, FAIXA DE PED;ATROP PEDESTRE;15/11/2017;4-QUA;04:50;AUTOMÓVEL;FEMININO;31;;;;;;;;;;1
VIA URBANA;CEILÂNDIA;VIA M2 - NORTE, EQNM 22/24, PRÓX. AO QUIOSQUE PAI E FILHO, SENT. NORTE, FAIXA DE PED;ATROP PEDESTRE;16/08/2014;7-SAB;22:45;MOTO;FEMININO;64;;;;;;;1;;;
VIA URBANA;CEILÂNDIA;VIA M2 - NORTE, QNM 12, PRÓX. AO OBCURSOS;ATROP PEDESTRE;14/01/2015;4-QUA;09:00;AUTOMÓVEL;MASCULINO;84;;;;;;;;1;;
VIA URBANA;CEILÂNDIA;VIA M3 (AV. BAHIA), QNM 42, CONJ. A2, EM FRENTE AO LOTE 62;ATROP PEDESTRE;31/10/2009;7-SAB;17:20;MOTO;FEMININO;66;;1;;;;;;;;
VIA URBANA;CEILÂNDIA;VIA N3 - SUL, QNN 22, CONJ. O, PRÓX. À BRASAL, FAIXA DE PED;ATROP PEDESTRE;23/02/2017;5-QUI;13:30;AUTOMÓVEL;MASCULINO;36;;;;;;;;;;1
VIA URBANA;CEILÂNDIA;VIA N3 - SUL, QNN 24, CONJ. O, PRÓX. À OFICINA DIESEL CAR, FAIXA DE PED;ATROP PEDESTRE;09/01/2015;6-SEX;09:20;AUTOMÓVEL;FEMININO;65;;;;;;;;1;;
VIA URBANA;CEILÂNDIA;VIA N3 (AV. CEARÁ), QNN 18, CONJ. H, EM FRENTE Á CS. 05, FAIXA DE PEDESTRES , SENT S/N;ATROP PEDESTRE;04/04/2009;7-SAB;20:15;MOTO;MASCULINO;40;;1;;;;;;;;
VIA URBANA;CEILÂNDIA;VIA NM3, QNM 10, PRÓX. À IGREJA;ATROP PEDESTRE;11/03/2012;1-DOM;18:30;NÃO INFORMADO;FEMININO;65;;;;;1;;;;;
VIA URBANA;CEILÂNDIA;VIA NM3, QNO 09, PRÓX. À VILA OLÍMPICA, FAIXA DE PED;ATROP PEDESTRE;05/04/2016;3-TER;18:30;MOTO;FEMININO;67;;;;;;;;;1;
VIA URBANA;CEILÂNDIA;VIA NM3, QNP 17, PRÓX. AO CONJ. J, CS 01, SENT. O/L, FAIXA DE PED;ATROP PEDESTRE;03/09/2014;4-QUA;09:20;MOTO;FEMININO;62;;;;;;;1;;;
VIA URBANA;CEILÂNDIA;VIA P2 - NORTE, QNP 05, PRÓX.  DA MADEIREIRA TABAJARA;ATROP PEDESTRE;07/08/2012;3-TER;16:00;AUTOMÓVEL;FEMININO;56;;;;;1;;;;;
VIA URBANA;CEILÂNDIA;VIA P3 - SUL, EQNP 12/16, PRÓX. AO SUP. VENEZA, SENT. S/N, FAIXA DE PED;ATROP PEDESTRE;27/09/2012;5-QUI;10:00;MOTO;MASCULINO;77;;;;;1;;;;;
VIA URBANA;CEILÂNDIA;VIA P4, EQNP 32/36, PRÓX. À MADEIREIRA MELO, SENT. N/S, FAIXA DE PED;ATROP PEDESTRE;06/04/2014;1-DOM;15:30;AUTOMÓVEL;FEMININO;75;;;;;;;1;;;
VIA URBANA;CRUZEIRO;VIA HCE 1, EQD 101/201, PRÓX. À PISTA DE SKATE, SENT. EPIA, FAIXA DE PED;ATROP PEDESTRE;05/05/2014;2-SEG;09:30;AUTOMÓVEL;MASCULINO;83;;;;;;;1;;;
VIA URBANA;GAMA;AV CENTRAL NORTE, QD 01, EM FRENTE AO SESI;ATROP PEDESTRE;09/05/2009;7-SAB;12:20;AUTOMÓVEL;FEMININO;22;;1;;;;;;;;
VIA URBANA;GAMA;AV DOS PIONEIROS, QD 02, EM FRENTE À ESCOLA CLUBE DA CRIANÇA, SENT OESTE/LESTE (FAIXA PED);ATROP PEDESTRE;08/01/2008;3-TER;14:30;CAMINHONETE;FEMININO;53;1;;;;;;;;;
VIA URBANA;GAMA;AV DOS PIONEIROS, QD 32, SENT. LESTE/OESTE;ATROP PEDESTRE;29/11/2009;1-DOM;09:00;AUTOMÓVEL;FEMININO;66;;1;;;;;;;;
VIA URBANA;GAMA;AV DOS PIONEIROS, QD 36, EM FRENTE AO BANCO DO BRASIL, FAIXA DE PEDESTRE;ATROP PEDESTRE;10/10/2009;7-SAB;11:00;AUTOMÓVEL;MASCULINO;79;;1;;;;;;;;
VIA URBANA;GAMA;AV. CENTRAL OESTE, PRÓX. À ANTIGA BIBLIOTECA PÚBLICA;ATROP PEDESTRE;03/03/2014;2-SEG;14:30;ÔNIBUS;FEMININO;70;;;;;;;1;;;
VIA URBANA;GAMA;AV. JK (OESTE/CENTRAL), AE OESTE, PRÓX. AO SESI, FAIXA DE PED;ATROP PEDESTRE;23/06/2017;6-SEX;11:00;AUTOMÓVEL;FEMININO;92;;;;;;;;;;1
VIA URBANA;GUARÁ;SIA TRECHO 1, EM FRENTE À REVENDEDORA LAND ROVER, SENT. CRUZEIRO;ATROP PEDESTRE;30/12/2010;5-QUI;10:30;AUTOMÓVEL;MASCULINO;49;;;1;;;;;;;
